GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Tajo :: Tests Coverage/tajo-common,org.apache.tajo.exception,UndefinedOperatorException,14,0,0,0,4,0,2,0,2,0
Apache Tajo :: Tests Coverage/tajo-common,org.apache.tajo.exception,ValueTooLongForTypeCharactersException,13,0,0,0,2,0,1,0,1,0
Apache Tajo :: Tests Coverage/tajo-common,org.apache.tajo.exception,DuplicateTableException,14,0,0,0,4,0,2,0,2,0
Apache Tajo :: Tests Coverage/tajo-common,org.apache.tajo.exception,UndefinedTablespaceException,14,0,0,0,4,0,2,0,2,0
Apache Tajo :: Tests Coverage/tajo-common,org.apache.tajo.exception,UndefinedPartitionKeyException,14,0,0,0,4,0,2,0,2,0
Apache Tajo :: Tests Coverage/tajo-common,org.apache.tajo.exception,SQLExceptionUtil,414,0,12,0,88,0,16,0,10,0
Apache Tajo :: Tests Coverage/tajo-common,org.apache.tajo.exception,MetadataConnectionException,16,0,0,0,2,0,1,0,1,0
Apache Tajo :: Tests Coverage/tajo-common,org.apache.tajo.exception,UndefinedColumnException,14,0,0,0,4,0,2,0,2,0
Apache Tajo :: Tests Coverage/tajo-common,org.apache.tajo.exception,InvalidValueForCastException,22,51,0,0,4,6,2,3,2,3
Apache Tajo :: Tests Coverage/tajo-common,org.apache.tajo.exception,NotImplementedException,24,0,0,0,6,0,3,0,3,0
Apache Tajo :: Tests Coverage/tajo-common,org.apache.tajo.exception,UndefinedDatabaseException,14,0,0,0,4,0,2,0,2,0
Apache Tajo :: Tests Coverage/tajo-common,org.apache.tajo.exception,UnavailableTableLocationException,18,0,0,0,4,0,2,0,2,0
Apache Tajo :: Tests Coverage/tajo-common,org.apache.tajo.exception,ValueOutOfRangeException,4,0,0,0,2,0,1,0,1,0
Apache Tajo :: Tests Coverage/tajo-common,org.apache.tajo.exception,InvalidInputsForCrossJoin,8,0,0,0,4,0,2,0,2,0
Apache Tajo :: Tests Coverage/tajo-common,org.apache.tajo.exception,SQLSyntaxError,14,0,0,0,4,0,2,0,2,0
Apache Tajo :: Tests Coverage/tajo-common,org.apache.tajo.exception,DuplicateColumnException,14,0,0,0,4,0,2,0,2,0
Apache Tajo :: Tests Coverage/tajo-common,org.apache.tajo.exception,DuplicatePartitionException,14,0,0,0,4,0,2,0,2,0
